whewell | It is my purpose to write the History of some of the most important of the Physical Sciences, from the earliest to the most recent periods. | Introduction
whewell | The completeness of historical view which belongs to such a design, consists, not in accumulating all the details of the cultivation of each science, but in marking the larger features of its formation. | Introduction
whewell | The historian must endeavor to point out how each of the important advances was made, by which the sciences have reached their present position; and when and by whom each of the valuable truths was obtained, of which the aggregate now constitutes a costly treasure. | Introduction
whewell | Our species, from the time of its creation, has been travelling onwards in pursuit of truth; and now that we have reached a lofty and commanding position, with the broad light of day around us, it must be grateful to look back on the line of our vast progress. | Introduction
whewell | The examination of the steps by which our ancestors acquired our intellectual estate, may make us acquainted with our expectations as well as our possessions;--may not only remind us of what we have, but may teach us how to improve and increase our store. | Introduction
whewell | It will be universally expected that a History of Inductive Science should point out to us a philosophical distribution of the existing body of knowledge, and afford us some indication of the most promising mode of directing our future efforts to add to its extent and completeness. | Introduction
whewell | To deduce such lessons from the past history of human knowledge, was the intention which originally gave rise to the present work. | Introduction
whewell | In the first place then, I remark, that, to the formation of science, two things are requisite;--Facts and Ideas; observation of Things without, and an inward effort of Thought; or, in other words, Sense and Reason. | Introduction
whewell | Neither of these elements, by itself can constitute substantial general knowledge. | Introduction
whewell | Real speculative knowledge demands the combination of the two ingredients;--right reason, and facts to reason upon. | Introduction
whewell | It has been well said, that true knowledge is the interpretation of nature; and therefore it requires both the interpreting mind, and nature for its subject; both the document, and the ingenuity to read it aright. | Introduction
whewell | Thus invention, acuteness, and connection of thought, are necessary on the one hand, for the progress of philosophical knowledge; and on the other hand, the precise and steady application of these faculties to facts well known and clearly conceived. | Introduction
whewell | Such sciences as we have here to do with are, commonly, not formed by a single act;--they are not completed by the discovery of one great principle. | Introduction
whewell | The principles which constituted the triumph of the preceding stages of the science, may appear to be subverted and ejected by the later discoveries, but in fact they are (so far as they were true) taken up in the subsequent doctrines and included in them. | Introduction
whewell | They continue to be an essential part of the science. The earlier truths are not expelled but absorbed, not contradicted but extended; and the history of each science, which may thus appear like a succession of revolutions, is, in reality, a series of developments. | Introduction
whewell | The great changes which thus take place in the history of science, the revolutions of the intellectual world, have, as a usual and leading character, this, that they are steps of generalization; transitions from particular truths to others of a wider extent, in which the former are included. | Introduction
whewell | This progress of knowledge, from individual facts to universal laws,--from particular propositions to general ones,--and from these to others still more general, with reference to which the former generalizations are particular,--is so far familiar to men's minds. | Introduction
whewell | These primary movements, when the Inductive process, by which science is formed, has been exercised in a more energetic and powerful manner, may be distinguished as the Inductive Epochs of scientific history; and they deserve our more express and pointed notice. | Introduction
whewell | They have been preceded by a period, which we may call their Prelude during which the ideas and facts on which they turned were called into action;--were gradually evolved into clearness and connection, permanency and certainty. | Introduction
whewell | And again, when this step has been made by the principal discoverers, there may generally be observed another period, which we may call the Sequel of the Epoch, during which the discovery has acquired a more perfect certainty and a more complete development among the leaders of the advance. | Introduction
whewell | Since the advance of science consists in collecting by induction true general laws from particular facts, and in combining several such laws into one higher generalization, in which they still retain their truth; we might form a Chart, or Table, of the progress of each science. | Introduction
whewell | In order to understand the conditions of the progress of knowledge, we must attend, in some measure, to the failures as well as the successes by which such attempts have been attended. | Introduction
whewell | During a great part of such stationary periods, we shall find that the process which we have spoken of as essential to the formation of real science, the conjunction of clear Ideas with distinct Facts, was interrupted; and, in such cases, men dealt with ideas alone. | Introduction
whewell | This process of drawing conclusions from our principles, by rigorous and unimpeachable trains of demonstration, is termed Deduction. In its due place, it is a highly important part of every science; but it has no value when the fundamental principles, on which the whole of the demonstration rests, have not first been obtained by the induction of facts, so as to supply the materials of substantial truth. | Introduction
whewell | Without such materials, a series of demonstrations resembles physical science only as a shadow resembles a real object. To give a real significance to our propositions, Induction must provide what Deduction cannot supply. | Introduction
whewell | Scientific Ideas and common Notions differ in this, that the former are precise and stable, the latter vague and variable; the former are possessed with clear insight, and employed in a sense rigorously limited, and always identically the same; the latter have grown up in the mind from a thousand dim and diverse suggestions. | Introduction
whewell | Scientific Ideas can often be adequately exhibited for all the purposes of reasoning, by means of Definitions and Axioms; all attempts to reason by means of Definitions from common Notions, lead to empty forms or entire confusion. | Introduction
whewell | Such common Notions are sufficient for the common practical conduct of human life: but man is not a practical creature merely; he has within him a speculative tendency, a pleasure in the contemplation of ideal relations, a love of knowledge as knowledge. | Introduction
whewell | So long, however, as attempts are made to form sciences, without such a verification and realization of their fundamental ideas, there is, in the natural series of speculation, no self-correcting principle. | Introduction
whewell | A philosophy constructed on notions obscure, vague, and unsubstantial, and held in spite of the want of correspondence between its doctrines and the actual train of physical events, may long subsist, and occupy men's minds. | Introduction
whewell | The opinions of the Masters are the facts which the Disciples endeavor to reduce to unity, or to follow into consequences. A series of speculators who pursue such a course, may properly be termed a School, and their philosophy a School Philosophy. | Introduction
whewell | The physical philosophy of the Greek Schools was formed by looking at the material world through the medium of that common language which men employ to answer the common occasions of life. | Introduction
whewell | In general, nations have marked this portion of time by some word which has a reference to the returning circle of seasons and employments. | Preface to the Third Edition
whewell | Thus the Latin _annus_ signified a ring, as we see in the derivative _annulus_: the Greek term ἐνιαυτὸς implies something which _returns into itself_. | Preface to the Third Edition
whewell | But to make the same term imply a certain fixed number of days, we must know how many days the cycle of the seasons occupies; a knowledge which requires faculties and artifices beyond what we have already mentioned. | Preface to the Third Edition
